Year Level,Qualification,School Decile Band,Academic Year,Typical Level Flag,Cumulative Year Attainment Rate,Current Year Attainment Rate,Cumulative Year Attainment,Current Year Attainment,Total Student Count,Cohort Warning
11,NCEA Level 1,Decile 1-3,2009,1,45.2%,44.4%,5258,5171,11640,
11,NCEA Level 1,Decile 1-3,2010,1,46.8%,46.2%,5344,5272,11413,
11,NCEA Level 1,Decile 1-3,2011,1,45.4%,44.6%,5155,5058,11353,
11,NCEA Level 1,Decile 1-3,2012,1,47.7%,46.5%,5448,5312,11418,
11,NCEA Level 1,Decile 1-3,2013,1,55.5%,54.6%,6137,6040,11059,
11,NCEA Level 1,Decile 1-3,2014,1,58.2%,57.4%,6264,6175,10754,
11,NCEA Level 1,Decile 1-3,2015,1,61.6%,61%,7385,7310,11993,
11,NCEA Level 1,Decile 1-3,2016,1,63.3%,62.5%,7481,7385,11824,
11,NCEA Level 1,Decile 1-3,2017,1,63.5%,62.6%,7241,7144,11412,
11,NCEA Level 1,Decile 1-3,2018,1,58.3%,57.4%,6567,6460,11263,
11,NCEA Level 1,Decile 4-7,2009,1,61.9%,61%,16664,16440,26942,
11,NCEA Level 1,Decile 4-7,2010,1,63.7%,63%,17194,17006,26995,
11,NCEA Level 1,Decile 4-7,2011,1,64.8%,64%,17210,17003,26578,
11,NCEA Level 1,Decile 4-7,2012,1,66.7%,65.9%,16785,16592,25171,
11,NCEA Level 1,Decile 4-7,2013,1,71.1%,70.5%,17959,17804,25246,
11,NCEA Level 1,Decile 4-7,2014,1,74.5%,73.8%,18217,18057,24462,
11,NCEA Level 1,Decile 4-7,2015,1,77.1%,76.2%,20237,20008,26248,
11,NCEA Level 1,Decile 4-7,2016,1,78%,77.4%,20662,20485,26476,
11,NCEA Level 1,Decile 4-7,2017,1,78.2%,77.4%,20031,19830,25631,
11,NCEA Level 1,Decile 4-7,2018,1,74.7%,73.9%,19299,19093,25842,
11,NCEA Level 1,Decile 8-10,2009,1,71.1%,70.8%,16832,16773,23678,
11,NCEA Level 1,Decile 8-10,2010,1,75%,74.7%,17300,17232,23055,
11,NCEA Level 1,Decile 8-10,2011,1,76.2%,75.8%,17546,17450,23022,
11,NCEA Level 1,Decile 8-10,2012,1,77.2%,76.6%,17603,17455,22797,
11,NCEA Level 1,Decile 8-10,2013,1,79.9%,79.3%,18536,18403,23195,
11,NCEA Level 1,Decile 8-10,2014,1,80.7%,80.2%,18410,18296,22804,
11,NCEA Level 1,Decile 8-10,2015,1,83.3%,82.9%,17230,17155,20696,
11,NCEA Level 1,Decile 8-10,2016,1,83.2%,82.9%,17532,17461,21062,
11,NCEA Level 1,Decile 8-10,2017,1,81.9%,81.5%,17055,16965,20825,
11,NCEA Level 1,Decile 8-10,2018,1,80.7%,80.2%,17001,16897,21067,
12,NCEA Level 1,Decile 1-3,2009,0,67.5%,17.3%,6365,1630,9427,
12,NCEA Level 1,Decile 1-3,2010,0,71%,18.1%,6821,1740,9613,
12,NCEA Level 1,Decile 1-3,2011,0,71.3%,16.9%,6786,1607,9516,
12,NCEA Level 1,Decile 1-3,2012,0,73.7%,19.1%,7167,1857,9724,
12,NCEA Level 1,Decile 1-3,2013,0,79.1%,23.3%,7532,2220,9523,
12,NCEA Level 1,Decile 1-3,2014,0,82.1%,18.1%,7577,1674,9233,
12,NCEA Level 1,Decile 1-3,2015,0,85%,18.4%,8754,1894,10300,
12,NCEA Level 1,Decile 1-3,2016,0,85.7%,16.5%,8862,1710,10339,
12,NCEA Level 1,Decile 1-3,2017,0,85.5%,15.2%,8809,1565,10302,
12,NCEA Level 1,Decile 1-3,2018,0,85.1%,14.2%,8360,1399,9819,
12,NCEA Level 1,Decile 4-7,2009,0,82%,13.3%,19538,3172,23830,
12,NCEA Level 1,Decile 4-7,2010,0,83.2%,14.1%,19897,3385,23928,
12,NCEA Level 1,Decile 4-7,2011,0,84.1%,13.1%,20093,3132,23897,
12,NCEA Level 1,Decile 4-7,2012,0,84.8%,13.2%,19730,3068,23266,
12,NCEA Level 1,Decile 4-7,2013,0,88.7%,15.1%,19845,3373,22368,
12,NCEA Level 1,Decile 4-7,2014,0,90.5%,12.8%,20508,2911,22672,
12,NCEA Level 1,Decile 4-7,2015,0,91.8%,11.1%,21529,2592,23448,
12,NCEA Level 1,Decile 4-7,2016,0,92.3%,10.6%,22403,2573,24260,
12,NCEA Level 1,Decile 4-7,2017,0,92.6%,9.8%,22577,2380,24381,
12,NCEA Level 1,Decile 4-7,2018,0,92.2%,9.6%,21771,2267,23617,
12,NCEA Level 1,Decile 8-10,2009,0,84.7%,9.3%,18264,2002,21558,
12,NCEA Level 1,Decile 8-10,2010,0,86.2%,10%,18623,2168,21594,
12,NCEA Level 1,Decile 8-10,2011,0,86.8%,8.6%,19106,1900,22019,
12,NCEA Level 1,Decile 8-10,2012,0,87.8%,8.5%,19254,1865,21929,
12,NCEA Level 1,Decile 8-10,2013,0,89.2%,9.4%,19422,2041,21773,
12,NCEA Level 1,Decile 8-10,2014,0,90.2%,8%,20131,1778,22330,
12,NCEA Level 1,Decile 8-10,2015,0,90.5%,7.3%,17480,1402,19305,
12,NCEA Level 1,Decile 8-10,2016,0,91.5%,6.9%,18634,1407,20356,
12,NCEA Level 1,Decile 8-10,2017,0,91.7%,7%,18837,1438,20545,
12,NCEA Level 1,Decile 8-10,2018,0,91.7%,8.2%,18586,1672,20272,
13,NCEA Level 1,Decile 1-3,2009,0,80.8%,5.8%,5555,402,6876,
13,NCEA Level 1,Decile 1-3,2010,0,80.5%,5.8%,6000,432,7456,
13,NCEA Level 1,Decile 1-3,2011,0,82.4%,4.9%,6276,375,7612,
13,NCEA Level 1,Decile 1-3,2012,0,85.3%,6.2%,6674,486,7820,
13,NCEA Level 1,Decile 1-3,2013,0,88.3%,8.5%,6907,665,7826,
13,NCEA Level 1,Decile 1-3,2014,0,89.9%,5%,6965,390,7744,
13,NCEA Level 1,Decile 1-3,2015,0,91.8%,4.8%,7831,406,8534,
13,NCEA Level 1,Decile 1-3,2016,0,92.7%,4%,7930,339,8551,
13,NCEA Level 1,Decile 1-3,2017,0,92.9%,3.1%,7782,262,8373,
13,NCEA Level 1,Decile 1-3,2018,0,93.1%,3.5%,7775,292,8351,
13,NCEA Level 1,Decile 4-7,2009,0,89.7%,2.9%,15939,523,17778,
13,NCEA Level 1,Decile 4-7,2010,0,90.7%,3.2%,16952,607,18692,
13,NCEA Level 1,Decile 4-7,2011,0,90.4%,2.7%,17549,520,19418,
13,NCEA Level 1,Decile 4-7,2012,0,91.5%,3.4%,16956,621,18522,
13,NCEA Level 1,Decile 4-7,2013,0,93.1%,4.7%,17421,878,18722,
13,NCEA Level 1,Decile 4-7,2014,0,94.3%,2.5%,17228,465,18263,
13,NCEA Level 1,Decile 4-7,2015,0,95.2%,2.2%,18869,440,19821,
13,NCEA Level 1,Decile 4-7,2016,0,95.3%,2%,18532,383,19440,
13,NCEA Level 1,Decile 4-7,2017,0,95.5%,1.8%,18901,360,19791,
13,NCEA Level 1,Decile 4-7,2018,0,95.7%,1.7%,19155,337,20014,
13,NCEA Level 1,Decile 8-10,2009,0,88.9%,1.9%,15742,341,17700,
13,NCEA Level 1,Decile 8-10,2010,0,89.3%,2.2%,16227,402,18174,
13,NCEA Level 1,Decile 8-10,2011,0,89.7%,1.6%,16587,290,18483,
13,NCEA Level 1,Decile 8-10,2012,0,89.8%,1.6%,17000,308,18928,
13,NCEA Level 1,Decile 8-10,2013,0,91%,2.1%,17452,411,19186,
13,NCEA Level 1,Decile 8-10,2014,0,91.1%,1.5%,17463,280,19165,
13,NCEA Level 1,Decile 8-10,2015,0,92.4%,1.2%,16082,216,17399,
13,NCEA Level 1,Decile 8-10,2016,0,92.2%,1.5%,16069,263,17420,
13,NCEA Level 1,Decile 8-10,2017,0,93.1%,1.5%,16974,271,18236,
13,NCEA Level 1,Decile 8-10,2018,0,93.3%,1.3%,16800,238,18002,
11,NCEA Level 2,Decile 1-3,2009,0,1.6%,1.3%,182,156,11640,
11,NCEA Level 2,Decile 1-3,2010,0,2%,1.5%,227,174,11413,
11,NCEA Level 2,Decile 1-3,2011,0,1.7%,1.2%,191,139,11353,
11,NCEA Level 2,Decile 1-3,2012,0,2.1%,1.3%,237,152,11418,
11,NCEA Level 2,Decile 1-3,2013,0,2.3%,2.1%,250,231,11059,
11,NCEA Level 2,Decile 1-3,2014,0,2.2%,2.1%,233,221,10754,
11,NCEA Level 2,Decile 1-3,2015,0,1.9%,1.8%,230,217,11993,
11,NCEA Level 2,Decile 1-3,2016,0,2.3%,2.1%,271,246,11824,
11,NCEA Level 2,Decile 1-3,2017,0,2.8%,2.7%,325,312,11412,
11,NCEA Level 2,Decile 1-3,2018,0,1.9%,1.8%,217,203,11263,
11,NCEA Level 2,Decile 4-7,2009,0,1.1%,1.1%,297,284,26942,
11,NCEA Level 2,Decile 4-7,2010,0,1.2%,1.2%,335,317,26995,
