School Id,Org Name,Telephone,Fax,Email^,Principal*,URL,Physical Address Line1,Physical Address Suburb,Physical Address City,Postal Address Line1,Postal Address Suburb,Postal Address City,Postal Address Postal Code,Urban Area,Org Type,Definition,Authority,CoEd Status,Territorial Authority,Regional Council,Local Office Name,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Col Id,Col Name,Latitude,Longitude,Decile,Total,European,Māori,Pacific,Asian,MELAA,Other,International,IsolationIndex,SchoolDonations
1,Te Kura o Te Kao,09 409 7813,,office@tekao.school.nz,Hemi Takawe,http://www.tekuraotekao.school.nz,6603 Far North Road,,Te Kao,6603 Far North Road RD 4,,Kaitaia,484,Rural Area,Full Primary,Designated Character School,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,North Cape,Te Hiku Ward,,,-34.654704,172.965949,2,39,0,39,0,0,0,0,0,4.18,Donations should not be requested unless for a school camp
2,Taipa Area School,09 406 0159,09 406 1096,office@taipa.school.nz,Doreen Bailey,http://www.taipa.school.nz,578 State Highway 10,,Taipa,578 State Highway 10,,Taipa,420,Minor Urban Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Taipa Bay-Mangonui,Te Hiku Ward,99051,Te Kāhui Tai Kura o Te Hiku,-34.994702,173.464303,2,299,37,245,11,6,0,0,0,2.88,Donations should not be requested unless for a school camp
3,Kaitaia College,09 408 0190,09 408 0193,admin@kaitaiacollege.school.nz,Ben Hancock,http://www.schoolground.co.nz/kaitaiacol,53 Redan Road,,Kaitaia,P O Box 265,,Kaitaia,441,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaitaia West,Te Hiku Ward,99051,Te Kāhui Tai Kura o Te Hiku,-35.121314,173.258701,2,764,159,582,11,7,0,5,0,2.74,Donations should not be requested unless for a school camp
4,Whangaroa College,09 405 0199,09 405 0288,office@whc.school.nz,Jack Anderson,http://www.whangaroacollege.school.nz,4157 State Highway 10,,Kaeo,P O Box 126,,Kaeo,448,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaeo,Bay of Islands-Whangaroa Ward,99197,Whaingaroa Kāhui Ako,-35.100854,173.786951,1,92,14,78,0,0,0,0,0,2.61,Donations should not be requested unless for a school camp
5,Kerikeri High School,09 407 8916,09 407 9323,enquiries@kerikerihigh.ac.nz,Elizabeth Forgie,http://www.kerikerihigh.ac.nz,48 Hone Heke Road,,Kerikeri,P O Box 92,,Kerikeri,245,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kerikeri,Bay of Islands-Whangaroa Ward,,,-35.228346,173.95539,6,1520,925,432,23,48,22,10,60,2.41,Donations should not be requested unless for a school camp
6,Broadwood Area School,09 409 5878,09 409 5877,maryanne@broadwood.school.nz,Danelle Smith (Acting),http://broadwood.school.nz,1041 Broadwood Road,,Broadwood,P O Box 12,,Broadwood,462,Rural Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga North,Kaikohe-Hokianga Ward,99148,Hokianga Community of Learning,-35.26124,173.394991,1,85,9,75,0,1,0,0,0,2.87,Donations should not be requested unless for a school camp
7,Okaihau College,09 401 9030,09 401 9793,admin@okaihau-college.school.nz,Thomas Davison (Acting),http://www.okaihau-college.school.nz,58 Settlers Way,,Okaihau,58 Settlers Way RD 1,,Okaihau,475,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Okaihau,Kaikohe-Hokianga Ward,99060,Te Arahura Community of Learning,-35.323752,173.765765,2,393,119,258,4,8,1,3,0,2.34,Donations should not be requested unless for a school camp
8,Bay of Islands College,09 404 1055,09 404 1048,,Edith Painting-Davis,http://www.boic.school.nz,1-9 Derrick Road,,Kawakawa,P O Box 58,,Kawakawa,243,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kawakawa,Bay of Islands-Whangaroa Ward,99117,Peowhairangi Community of Learning,-35.379495,174.075903,2,327,22,293,6,6,0,0,0,1.8,Donations should not be requested unless for a school camp
9,Northland College,09 401 3200,09 401 2378,admin@northlandcollege.school.nz,John Kendal,http://www.northlandcollege.school.nz,62 Mangakahia Road,,Kaikohe,P O Box 261,,Kaikohe,440,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaikohe,Kaikohe-Hokianga Ward,99060,Te Arahura Community of Learning,-35.413881,173.809918,1,284,4,269,9,2,0,0,0,2.37,Donations should not be requested unless for a school camp
10,Te Kura Taumata o Panguru,09 409 5701,09 409 5703,office@panguru.school.nz,Mina Pomare-Peita,http://www.panguru.school.nz,2178 West Coast Road,,Panguru,2178 West Coast Road RD 2,,Kohukohu,492,Rural Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga North,Kaikohe-Hokianga Ward,,,-35.38052,173.383069,1,98,1,96,0,1,0,0,0,3.31,Donations should not be requested unless for a school camp
11,Opononi Area School,09 405 8500,09 405 8501,anitaw@opononi.school.nz,Pateriki Toi,,263 State Highway 12,Omapere,Kaikohe,Private Bag 759,,Kaikohe,440,Rural Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Omapere and Opononi,Kaikohe-Hokianga Ward,99148,Hokianga Community of Learning,-35.528548,173.390213,1,149,39,109,0,0,1,0,0,3.25,Donations should not be requested unless for a school camp
12,Tauraroa Area School,09 432 2643,09 432 2436,general@tauraroa.school.nz,Grant Burns,http://www.tauraroa.school.nz,398 Tauraroa Road,,Maungakaramea,P O Box 36,,Maungakaramea,146,Rural Area,Composite,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Wharekohe-Oakleigh,Bream Bay Ward,99183,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 4,-35.873061,174.21817,6,505,357,118,3,9,3,8,7,0.98,Donations should not be requested unless for a school camp
13,Kamo High School,09 435 1688,09 435 0790,executive.officer@kamohigh.school.nz,Joanne Hutt,http://www.kamohigh.school.nz/,1 Wilkinson Avenue,Kamo,Whangarei,P O Box 4137,,Kamo,141,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Kamo East,Denby Ward,99182,Te Tai Raki Whangarei Kāhui Ako,-35.684386,174.302814,4,871,383,432,14,25,7,2,8,0.7,Donations should not be requested unless for a school camp
14,Tikipunga High School,09 437 3299,09 437 2522,sec@tikihigh.school.nz,Alec Solomon,http://tikihigh.school.nz/,194 Corks Road,Tikipunga,Whangarei,P O Box 7041,Tikipunga,Whangarei,144,Main Urban Area,Secondary (Year 7-15), Normal School                                              ,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Tikipunga West,Denby Ward,,,-35.683551,174.328318,2,258,41,210,4,1,1,1,0,0.7,Donations should not be requested unless for a school camp
